All Apps
========

ai.perplexity.app.android | User | Enabled
com.oem.euiccpartnerapp.overlay.retca | System | Disabled
com.oem.euiccpartnerapp.overlay.tmo | System | Disabled
com.oem.euiccpartnerapp.overlay.vzw | System | Disabled
com.olx.southasia | User | Enabled
com.openai.chatgpt | User | Enabled
com.orange.aura.oobe | System | Disabled
com.orange.update | System | Disabled
com.payjoy.access | System | Disabled
com.pinterest | User | Enabled
com.pubg.imobile | User | Enabled
com.rapido.passenger | User | Enabled
com.sachin.studentsahayak | User | Enabled
com.snapchat.android | User | Enabled
com.spotify.music | User | Enabled
com.taboola.mip | System | Disabled
com.truecaller | User | Enabled
com.trustonic.teeservice | System | Enabled
com.whatsapp.w4b | User | Enabled
com.zte.iptvclient.android.idmnc | System | Disabled
de.telekom.tsc | System | Disabled
id.mjs.etalaseapp | System | Disabled
in.amazon.mShop.android.shopping | User | Enabled
org.altruist.BajajExperia | User | Enabled
org.ukfpkerve.mkilcsfgrveri.mdurwaulhqi | User | Enabled
yellowclass.kids.live | User | Enabled
